customer_id,age,gender,nationality,emirate,income_bracket,marital_status,household_size
C00079,45,Female,Indian,Umm Al Quwain,3000-7000 AED,Single,4
C00080,43,Female,American,Abu Dhabi,3000-7000 AED,Single,8
C00081,33,Male,Indian,Fujairah,3000-7000 AED,Single,4
C00082,25,Male,Indian,Dubai,<3000 AED,Married,3
C00083,24,Male,British,Dubai,7000-15000 AED,Single,6
C00084,26,Female,Indian,Sharjah,7000-15000 AED,Married,3
C00085,42,Female,British,Dubai,3000-7000 AED,Married,3
C00086,24,Male,Filipino,Abu Dhabi,<3000 AED,Married,1
C00087,30,Female,Emirati,Dubai,<3000 AED,Married,2
C00088,35,Female,Indian,Sharjah,7000-15000 AED,Married,4
C00089,18,Female,Egyptian,Sharjah,<3000 AED,Single,7
C00090,32,Female,Emirati,Dubai,3000-7000 AED,Married,4
C00091,46,Female,Indian,Sharjah,3000-7000 AED,Married,5
C00092,30,Female,Indian,Dubai,3000-7000 AED,Single,4
C00093,34,Male,American,Dubai,<3000 AED,Single,1
C00094,23,Male,Pakistani,Abu Dhabi,3000-7000 AED,Married,1
C00095,34,Female,Indian,Sharjah,7000-15000 AED,Married,3
C00096,39,Female,Indian,Dubai,3000-7000 AED,Single,4
C00097,43,Female,Other,Dubai,<3000 AED,Married,5
C00098,20,Male,Pakistani,Dubai,7000-15000 AED,Married,7
C00099,27,Male,Filipino,Dubai,7000-15000 AED,Married,5
C00100,28,Female,Indian,Dubai,3000-7000 AED,Married,2
C00101,25,Male,Other,Ajman,3000-7000 AED,Single,3
C00102,54,Male,Pakistani,Dubai,3000-7000 AED,Single,2
C00103,38,Male,Other,Abu Dhabi,<3000 AED,Married,7
C00104,37,Female,Indian,Abu Dhabi,7000-15000 AED,Married,8
C00105,24,Female,Jordanian,Dubai,3000-7000 AED,Single,1
C00106,38,Female,Indian,Dubai,3000-7000 AED,Single,4
C00107,54,Male,Indian,Dubai,3000-7000 AED,Married,3
C00108,31,Female,Other,Sharjah,>15000 AED,Married,4
C00109,26,Female,Indian,Dubai,3000-7000 AED,Single,1
C00110,28,Female,Indian,Ras Al Khaimah,>15000 AED,Married,5
C00111,48,Male,Pakistani,Dubai,<3000 AED,Married,3
C00112,29,Male,Other,Ajman,3000-7000 AED,Single,6
C00113,18,Male,Emirati,Dubai,<3000 AED,Married,1
C00114,37,Male,Emirati,Sharjah,>15000 AED,Single,3
C00115,46,Female,Indian,Abu Dhabi,3000-7000 AED,Single,8
C00116,42,Female,Emirati,Dubai,3000-7000 AED,Married,4
C00117,18,Female,Jordanian,Ajman,<3000 AED,Married,8
C00118,41,Male,British,Dubai,<3000 AED,Single,8
C00119,40,Male,Emirati,Abu Dhabi,7000-15000 AED,Single,8
C00120,42,Female,Other,Dubai,<3000 AED,Married,4
C00121,40,Female,British,Sharjah,3000-7000 AED,Married,3
C00122,30,Male,Pakistani,Sharjah,3000-7000 AED,Single,5
C00123,28,Female,Indian,Dubai,<3000 AED,Single,6
C00124,18,Male,Indian,Fujairah,3000-7000 AED,Other,2
C00125,31,Female,Egyptian,Dubai,3000-7000 AED,Single,3
C00126,24,Male,Bangladeshi,Fujairah,>15000 AED,Married,1
C00127,28,Female,Filipino,Fujairah,3000-7000 AED,Single,1
C00128,31,Male,Bangladeshi,Dubai,7000-15000 AED,Married,5
C00129,31,Female,Egyptian,Abu Dhabi,3000-7000 AED,Single,1
C00130,36,Male,Pakistani,Dubai,>15000 AED,Single,4
C00131,25,Female,Other,Abu Dhabi,3000-7000 AED,Single,2
C00132,32,Female,Filipino,Ajman,<3000 AED,Married,1
C00133,26,Male,Indian,Ajman,<3000 AED,Married,6
C00134,27,Female,Pakistani,Ras Al Khaimah,<3000 AED,Married,4
C00135,44,Male,Indian,Dubai,7000-15000 AED,Married,5
C00136,57,Female,Other,Dubai,<3000 AED,Married,2
C00137,27,Male,Other,Dubai,<3000 AED,Married,3
C00138,34,Male,Indian,Dubai,3000-7000 AED,Married,3
C00139,34,Male,Indian,Fujairah,3000-7000 AED,Married,6
C00140,18,Female,Indian,Abu Dhabi,3000-7000 AED,Married,7
C00141,38,Male,Bangladeshi,Sharjah,<3000 AED,Single,1
C00142,24,Female,Pakistani,Ras Al Khaimah,<3000 AED,Single,1
C00143,26,Male,Indian,Dubai,3000-7000 AED,Married,1
C00144,21,Male,Indian,Abu Dhabi,>15000 AED,Married,6
C00145,44,Female,Pakistani,Sharjah,<3000 AED,Married,2
C00146,31,Male,Indian,Sharjah,7000-15000 AED,Single,2
C00147,33,Female,Filipino,Sharjah,3000-7000 AED,Single,1
C00148,26,Male,American,Ajman,7000-15000 AED,Married,4
C00149,33,Male,Indian,Ajman,7000-15000 AED,Married,1
C00150,44,Male,Pakistani,Ajman,>15000 AED,Single,2
C00151,18,Male,Indian,Dubai,3000-7000 AED,Single,5
C00152,40,Female,Pakistani,Sharjah,<3000 AED,Married,4
C00153,41,Male,Indian,Ras Al Khaimah,3000-7000 AED,Married,4
C00154,40,Female,Filipino,Dubai,3000-7000 AED,Married,5
C00155,23,Male,Indian,Sharjah,7000-15000 AED,Married,1
C00156,26,Male,American,Dubai,3000-7000 AED,Married,5
C00157,39,Male,Filipino,Sharjah,3000-7000 AED,Married,4
C00158,24,Male,Pakistani,Abu Dhabi,<3000 AED,Single,2
C00159,34,Male,Other,Dubai,7000-15000 AED,Single,6
C00160,31,Other,Indian,Dubai,7000-15000 AED,Married,3
C00161,46,Female,Indian,Sharjah,3000-7000 AED,Single,1
C00162,28,Female,Jordanian,Dubai,<3000 AED,Married,8
C00163,38,Female,Other,Abu Dhabi,3000-7000 AED,Married,7
C00164,20,Female,Bangladeshi,Dubai,3000-7000 AED,Married,5
C00165,46,Male,Egyptian,Sharjah,3000-7000 AED,Married,2
C00166,50,Female,Bangladeshi,Abu Dhabi,7000-15000 AED,Married,4
C00167,37,Female,Filipino,Dubai,3000-7000 AED,Single,1
C00168,31,Female,Other,Ajman,7000-15000 AED,Married,5
C00169,36,Female,Pakistani,Ajman,7000-15000 AED,Single,3
C00170,42,Female,Indian,Dubai,3000-7000 AED,Single,3
C00171,31,Female,Jordanian,Dubai,>15000 AED,Single,4
C00172,31,Male,Indian,Ajman,3000-7000 AED,Single,3
C00173,18,Female,British,Abu Dhabi,<3000 AED,Married,3
C00174,32,Male,Pakistani,Sharjah,3000-7000 AED,Married,2
C00175,52,Female,Other,Abu Dhabi,3000-7000 AED,Married,7
C00176,42,Female,Indian,Dubai,7000-15000 AED,Single,3
C00177,53,Male,Bangladeshi,Dubai,<3000 AED,Married,4
C00178,50,Male,Indian,Dubai,7000-15000 AED,Single,6
C00179,45,Female,Indian,Dubai,3000-7000 AED,Single,3
C00180,35,Female,British,Abu Dhabi,3000-7000 AED,Married,3
C00181,24,Male,Other,Umm Al Quwain,3000-7000 AED,Married,4
C00182,27,Female,Indian,Dubai,7000-15000 AED,Single,1
C00183,58,Female,Pakistani,Ajman,3000-7000 AED,Single,2
C00184,36,Male,Emirati,Abu Dhabi,3000-7000 AED,Single,2
C00185,25,Male,British,Abu Dhabi,3000-7000 AED,Married,3
C00186,28,Female,Indian,Fujairah,<3000 AED,Single,5
C00187,39,Male,Filipino,Sharjah,3000-7000 AED,Single,7
C00188,35,Female,Filipino,Dubai,>15000 AED,Single,2
C00189,43,Female,Indian,Dubai,3000-7000 AED,Married,1
C00190,29,Female,Indian,Ras Al Khaimah,>15000 AED,Single,6
C00191,39,Male,Emirati,Dubai,<3000 AED,Married,7
C00192,40,Male,Indian,Abu Dhabi,3000-7000 AED,Married,3
C00193,41,Male,Indian,Dubai,<3000 AED,Married,8
C00194,18,Male,American,Dubai,7000-15000 AED,Single,4
C00195,49,Male,Bangladeshi,Fujairah,3000-7000 AED,Single,6
C00196,40,Male,Indian,Abu Dhabi,<3000 AED,Single,4
C00197,44,Female,Pakistani,Abu Dhabi,3000-7000 AED,Single,3
C00198,29,Male,Other,Ras Al Khaimah,<3000 AED,Single,6
C00199,37,Male,Pakistani,Dubai,3000-7000 AED,Single,4
C00200,53,Male,Filipino,Dubai,>15000 AED,Married,2
C00201,38,Female,Indian,Dubai,3000-7000 AED,Single,4
C00202,38,Male,Indian,Abu Dhabi,7000-15000 AED,Single,4
C00203,37,Female,Other,Ajman,3000-7000 AED,Married,7
C00204,31,Male,Other,Abu Dhabi,3000-7000 AED,Single,5
C00205,31,Male,Emirati,Dubai,>15000 AED,Married,7
C00206,33,Other,Emirati,Abu Dhabi,3000-7000 AED,Married,3
C00207,26,Male,Indian,Dubai,<3000 AED,Single,4
C00208,23,Male,Bangladeshi,Ajman,3000-7000 AED,Single,1
C00209,38,Female,Indian,Abu Dhabi,<3000 AED,Single,2
C00210,30,Male,British,Ras Al Khaimah,3000-7000 AED,Single,6
C00211,42,Male,Indian,Abu Dhabi,7000-15000 AED,Married,4
C00212,18,Male,Other,Dubai,<3000 AED,Single,3
C00213,40,Male,Filipino,Dubai,7000-15000 AED,Married,2
C00214,18,Male,Bangladeshi,Ras Al Khaimah,<3000 AED,Single,4
C00215,30,Male,Indian,Sharjah,<3000 AED,Married,6
C00216,40,Male,Indian,Dubai,>15000 AED,Single,8
C00217,41,Female,Indian,Ajman,>15000 AED,Married,3
C00218,18,Male,Other,Dubai,>15000 AED,Single,4
C00219,29,Female,Filipino,Sharjah,3000-7000 AED,Married,4
C00220,42,Male,Filipino,Abu Dhabi,7000-15000 AED,Single,1
C00221,25,Male,Other,Dubai,3000-7000 AED,Married,1
C00222,46,Male,Emirati,Dubai,3000-7000 AED,Single,4
C00223,35,Female,Pakistani,Sharjah,<3000 AED,Single,4
C00224,43,Male,Pakistani,Dubai,3000-7000 AED,Married,5
C00225,40,Female,Filipino,Dubai,<3000 AED,Married,4
C00226,22,Female,Other,Sharjah,3000-7000 AED,Single,4
C00227,21,Male,Pakistani,Dubai,7000-15000 AED,Married,3
C00228,26,Female,Indian,Umm Al Quwain,<3000 AED,Single,2
C00229,48,Female,Other,Dubai,3000-7000 AED,Married,5
C00230,18,Female,Indian,Dubai,3000-7000 AED,Married,7
C00231,54,Female,Indian,Dubai,<3000 AED,Married,3
C00232,23,Male,Indian,Abu Dhabi,3000-7000 AED,Married,3
C00233,23,Male,Filipino,Sharjah,7000-15000 AED,Married,5
C00234,42,Female,Indian,Sharjah,7000-15000 AED,Single,1
C00235,23,Female,Indian,Abu Dhabi,7000-15000 AED,Married,3
C00236,46,Female,Indian,Dubai,<3000 AED,Single,5
C00237,18,Female,Pakistani,Dubai,3000-7000 AED,Single,7
C00238,20,Male,Indian,Abu Dhabi,3000-7000 AED,Single,2
C00239,43,Female,Indian,Dubai,7000-15000 AED,Married,3
C00240,36,Male,Indian,Abu Dhabi,3000-7000 AED,Married,5
C00241,44,Female,Indian,Dubai,>15000 AED,Single,4
C00242,38,Male,Filipino,Umm Al Quwain,>15000 AED,Married,3
C00243,27,Male,Bangladeshi,Ajman,3000-7000 AED,Single,5
C00244,29,Female,Filipino,Dubai,3000-7000 AED,Married,8
C00245,45,Male,Emirati,Dubai,3000-7000 AED,Married,3
C00246,53,Male,Indian,Abu Dhabi,<3000 AED,Single,2
C00247,44,Male,Pakistani,Dubai,<3000 AED,Single,5
C00248,30,Male,Indian,Dubai,3000-7000 AED,Married,3
C00249,33,Male,Pakistani,Dubai,<3000 AED,Single,6
C00250,33,Female,Bangladeshi,Dubai,3000-7000 AED,Married,1
C00251,35,Female,Indian,Sharjah,3000-7000 AED,Single,1
C00252,39,Female,Pakistani,Sharjah,3000-7000 AED,Married,2
C00253,34,Male,Indian,Abu Dhabi,3000-7000 AED,Other,4
C00254,34,Female,British,Abu Dhabi,7000-15000 AED,Single,4
C00255,24,Male,Indian,Dubai,>15000 AED,Married,6
C00256,50,Female,Filipino,Dubai,<3000 AED,Married,4
C00257,37,Male,Bangladeshi,Dubai,3000-7000 AED,Married,4
C00258,48,Female,Pakistani,Abu Dhabi,3000-7000 AED,Single,3
C00259,25,Female,Filipino,Ajman,3000-7000 AED,Married,2
C00260,33,Female,Other,Dubai,3000-7000 AED,Married,5
C00261,25,Female,Filipino,Dubai,3000-7000 AED,Married,1
C00262,23,Male,Indian,Abu Dhabi,3000-7000 AED,Single,1
C00263,44,Female,Emirati,Dubai,<3000 AED,Married,8
C00264,40,Female,Indian,Dubai,<3000 AED,Single,6
C00265,39,Male,British,Dubai,7000-15000 AED,Married,5
C00266,35,Male,Indian,Sharjah,3000-7000 AED,Married,4
C00267,31,Female,Other,Abu Dhabi,7000-15000 AED,Single,3
C00268,41,Male,Indian,Fujairah,3000-7000 AED,Married,6
C00269,22,Male,Bangladeshi,Sharjah,3000-7000 AED,Single,5
C00270,46,Female,American,Ajman,>15000 AED,Single,5
C00271,31,Female,Indian,Ajman,<3000 AED,Married,5
C00272,52,Female,Egyptian,Dubai,<3000 AED,Married,5
C00273,34,Female,Indian,Dubai,<3000 AED,Married,3
C00274,35,Male,Other,Dubai,3000-7000 AED,Single,5
C00275,36,Female,Indian,Sharjah,3000-7000 AED,Married,5
C00276,28,Male,Indian,Dubai,3000-7000 AED,Other,3
C00277,19,Male,Other,Sharjah,7000-15000 AED,Married,2
C00278,29,Female,Pakistani,Dubai,<3000 AED,Married,4
C00279,32,Female,Indian,Sharjah,3000-7000 AED,Married,3
C00280,29,Male,Other,Sharjah,3000-7000 AED,Other,5
C00281,19,Female,Indian,Dubai,7000-15000 AED,Single,2
C00282,28,Male,Filipino,Fujairah,3000-7000 AED,Single,5
C00283,32,Male,Indian,Dubai,<3000 AED,Married,2
C00284,30,Female,Indian,Dubai,7000-15000 AED,Married,3
C00285,49,Female,Other,Dubai,7000-15000 AED,Married,2
C00286,34,Male,Pakistani,Abu Dhabi,<3000 AED,Married,4
C00287,35,Male,Indian,Dubai,3000-7000 AED,Single,4
C00288,22,Male,Other,Abu Dhabi,<3000 AED,Married,4
C00289,30,Female,Other,Abu Dhabi,7000-15000 AED,Married,3
C00290,30,Male,Indian,Dubai,3000-7000 AED,Married,2
C00291,43,Female,Bangladeshi,Dubai,3000-7000 AED,Married,3
C00292,20,Female,Indian,Abu Dhabi,3000-7000 AED,Single,2
C00293,27,Male,Indian,Abu Dhabi,3000-7000 AED,Single,1
C00294,20,Male,Indian,Dubai,7000-15000 AED,Single,7
C00295,31,Male,Jordanian,Abu Dhabi,3000-7000 AED,Married,4
C00296,39,Male,Egyptian,Sharjah,7000-15000 AED,Single,6
C00297,28,Male,Other,Dubai,3000-7000 AED,Married,6
C00298,44,Female,Pakistani,Dubai,7000-15000 AED,Single,4
C00299,32,Male,Other,Dubai,7000-15000 AED,Married,5
C00300,50,Male,Indian,Sharjah,<3000 AED,Single,5
C00301,49,Female,Other,Dubai,3000-7000 AED,Single,3
C00302,40,Female,Filipino,Ajman,3000-7000 AED,Married,4
C00303,31,Male,Egyptian,Dubai,3000-7000 AED,Married,2
C00304,21,Female,Other,Sharjah,3000-7000 AED,Single,5
C00305,30,Male,Filipino,Sharjah,3000-7000 AED,Single,7
C00306,26,Female,Filipino,Dubai,3000-7000 AED,Married,4
C00307,53,Male,Indian,Abu Dhabi,3000-7000 AED,Single,5
C00308,26,Male,Other,Abu Dhabi,<3000 AED,Married,4
C00309,33,Male,Emirati,Dubai,<3000 AED,Married,3
C00310,18,Female,Indian,Dubai,<3000 AED,Single,2
C00311,29,Male,Emirati,Dubai,3000-7000 AED,Married,3
C00312,40,Male,Jordanian,Sharjah,>15000 AED,Other,6
C00313,24,Female,Emirati,Abu Dhabi,3000-7000 AED,Married,5
C00314,22,Male,Emirati,Dubai,>15000 AED,Single,4
C00315,48,Male,Other,Ras Al Khaimah,3000-7000 AED,Married,3
C00316,38,Female,Bangladeshi,Dubai,3000-7000 AED,Single,4
C00317,22,Female,Indian,Dubai,<3000 AED,Single,3
C00318,32,Male,American,Fujairah,7000-15000 AED,Single,6
C00319,23,Female,Indian,Dubai,3000-7000 AED,Married,5
C00320,48,Male,Indian,Fujairah,>15000 AED,Married,6
C00321,27,Female,Indian,Dubai,3000-7000 AED,Single,2
C00322,23,Male,Indian,Abu Dhabi,3000-7000 AED,Single,3
C00323,25,Female,Indian,Dubai,3000-7000 AED,Single,2
C00324,51,Female,Indian,Dubai,3000-7000 AED,Married,8
C00325,33,Male,Pakistani,Fujairah,3000-7000 AED,Married,3
C00326,45,Male,Indian,Dubai,3000-7000 AED,Married,2
C00327,32,Male,Indian,Sharjah,3000-7000 AED,Married,5
C00328,49,Female,Emirati,Dubai,<3000 AED,Married,2
C00329,29,Male,Filipino,Sharjah,3000-7000 AED,Single,1
C00330,37,Female,Pakistani,Dubai,3000-7000 AED,Married,8
C00331,18,Male,Indian,Dubai,>15000 AED,Single,2
C00332,40,Male,Indian,Ajman,3000-7000 AED,Single,6
C00333,30,Male,Pakistani,Fujairah,3000-7000 AED,Married,5
C00334,34,Female,Pakistani,Dubai,3000-7000 AED,Single,7
C00335,25,Female,Pakistani,Abu Dhabi,7000-15000 AED,Married,3
C00336,18,Male,Emirati,Ajman,3000-7000 AED,Married,5
C00337,50,Male,Indian,Ras Al Khaimah,3000-7000 AED,Single,5
C00338,40,Female,Pakistani,Dubai,3000-7000 AED,Married,3
C00339,18,Male,Pakistani,Sharjah,3000-7000 AED,Single,6
C00340,21,Female,Filipino,Ajman,<3000 AED,Married,3
C00341,19,Male,Other,Dubai,<3000 AED,Single,3
C00342,31,Male,Indian,Dubai,3000-7000 AED,Married,6
C00343,22,Male,Jordanian,Sharjah,7000-15000 AED,Married,3
C00344,25,Male,Indian,Sharjah,3000-7000 AED,Married,5
C00345,44,Female,Indian,Abu Dhabi,7000-15000 AED,Married,5
C00346,50,Male,Emirati,Dubai,<3000 AED,Married,3
C00347,23,Female,Other,Abu Dhabi,7000-15000 AED,Single,6
C00348,32,Male,Pakistani,Abu Dhabi,<3000 AED,Married,2
C00349,38,Female,Indian,Ajman,<3000 AED,Single,4
C00350,26,Female,Filipino,Dubai,<3000 AED,Single,1
C00351,27,Female,Filipino,Dubai,7000-15000 AED,Married,3
C00352,19,Other,Indian,Sharjah,3000-7000 AED,Married,1
C00353,38,Female,Indian,Dubai,3000-7000 AED,Other,2
C00354,44,Female,Egyptian,Fujairah,3000-7000 AED,Single,6
C00355,30,Male,Bangladeshi,Sharjah,3000-7000 AED,Married,2
C00356,18,Male,Filipino,Sharjah,7000-15000 AED,Married,2
C00357,28,Male,American,Ras Al Khaimah,7000-15000 AED,Single,2
C00358,40,Female,Jordanian,Sharjah,<3000 AED,Married,3
C00359,21,Male,Indian,Dubai,<3000 AED,Married,1
C00360,37,Female,American,Sharjah,3000-7000 AED,Single,2
C00361,45,Female,Bangladeshi,Sharjah,<3000 AED,Single,1
C00362,52,Female,Other,Ajman,3000-7000 AED,Single,5
C00363,29,Female,Indian,Dubai,>15000 AED,Single,3
C00364,41,Male,Other,Dubai,<3000 AED,Single,5
C00365,42,Female,Indian,Dubai,3000-7000 AED,Single,4
C00366,50,Female,Indian,Dubai,7000-15000 AED,Single,7
C00367,28,Male,Indian,Dubai,3000-7000 AED,Married,2
C00368,31,Male,Indian,Dubai,7000-15000 AED,Married,6
C00369,43,Female,American,Sharjah,>15000 AED,Single,7
C00370,32,Female,Indian,Ajman,3000-7000 AED,Single,5
C00371,25,Male,Indian,Dubai,7000-15000 AED,Married,3
C00372,42,Female,Indian,Dubai,7000-15000 AED,Single,3
C00373,31,Female,Other,Dubai,<3000 AED,Single,8
C00374,38,Male,Indian,Dubai,7000-15000 AED,Single,4
C00375,30,Male,Indian,Dubai,3000-7000 AED,Married,5
C00376,32,Female,Emirati,Abu Dhabi,3000-7000 AED,Married,8
C00377,23,Male,Emirati,Fujairah,7000-15000 AED,Single,4
C00378,31,Female,Other,Dubai,3000-7000 AED,Married,1
C00379,22,Male,Emirati,Dubai,3000-7000 AED,Married,5
C00380,56,Female,American,Dubai,3000-7000 AED,Single,5
C00381,33,Male,Filipino,Abu Dhabi,7000-15000 AED,Married,4
C00382,35,Male,Other,Dubai,3000-7000 AED,Married,4
C00383,24,Female,Indian,Umm Al Quwain,<3000 AED,Single,4
C00384,55,Female,Indian,Sharjah,3000-7000 AED,Single,5
C00385,42,Male,Indian,Dubai,<3000 AED,Other,4
C00386,36,Male,Indian,Sharjah,<3000 AED,Married,3
C00387,31,Male,British,Fujairah,3000-7000 AED,Single,5
C00388,36,Male,Jordanian,Ajman,3000-7000 AED,Married,5
C00389,29,Female,Emirati,Fujairah,<3000 AED,Married,2
C00390,41,Male,Indian,Abu Dhabi,<3000 AED,Married,3
C00391,33,Male,Bangladeshi,Ajman,3000-7000 AED,Married,3
C00392,18,Female,Indian,Ajman,>15000 AED,Married,2
C00393,18,Female,Indian,Dubai,3000-7000 AED,Married,4
C00394,35,Male,Other,Dubai,<3000 AED,Married,3
C00395,21,Female,Other,Sharjah,<3000 AED,Married,3
C00396,40,Female,Indian,Ajman,3000-7000 AED,Married,8
C00397,30,Male,Pakistani,Dubai,3000-7000 AED,Single,3
C00398,45,Female,Indian,Dubai,<3000 AED,Married,1
C00399,55,Male,Pakistani,Sharjah,>15000 AED,Single,4
C00400,52,Male,Indian,Ajman,7000-15000 AED,Single,3
C00401,37,Male,Egyptian,Dubai,3000-7000 AED,Married,2
C00402,31,Male,Other,Sharjah,>15000 AED,Single,6
C00403,39,Male,Indian,Dubai,<3000 AED,Single,3
C00404,40,Male,Indian,Ajman,>15000 AED,Married,3
C00405,28,Male,Pakistani,Dubai,3000-7000 AED,Married,2
C00406,38,Male,Emirati,Dubai,7000-15000 AED,Married,2
C00407,27,Male,Pakistani,Dubai,3000-7000 AED,Other,1
C00408,20,Female,Emirati,Dubai,7000-15000 AED,Married,3
C00409,20,Male,Other,Sharjah,<3000 AED,Married,3
C00410,38,Female,British,Dubai,>15000 AED,Married,3
C00411,26,Female,Bangladeshi,Abu Dhabi,<3000 AED,Married,3
C00412,50,Male,Indian,Dubai,3000-7000 AED,Married,3
C00413,40,Male,Indian,Dubai,<3000 AED,Married,6
C00414,43,Male,Other,Dubai,3000-7000 AED,Married,7
C00415,40,Male,Pakistani,Dubai,<3000 AED,Single,1
C00416,42,Male,Filipino,Fujairah,3000-7000 AED,Married,3
C00417,34,Female,Indian,Abu Dhabi,3000-7000 AED,Married,3
C00418,46,Female,Indian,Abu Dhabi,3000-7000 AED,Married,5
C00419,32,Female,Pakistani,Sharjah,<3000 AED,Single,5
C00420,44,Male,British,Abu Dhabi,3000-7000 AED,Married,4
C00421,28,Male,Bangladeshi,Abu Dhabi,3000-7000 AED,Single,4
