loyalty_id,customer_id,join_date,tier,points_balance,lifetime_spend,last_activity_date,enrolled_marketing
L002862,C02862,2025-08-01,Platinum,1843,2765.24,2025-04-08,True
L001546,C01546,2023-09-01,Gold,1689,2534.75,2025-08-16,False
L002425,C02425,2024-06-24,Silver,936,1405.16,2025-09-05,True
L001942,C01942,2024-12-08,Silver,1273,1910.33,2025-09-18,True
L001305,C01305,2024-06-14,Silver,124,186.61,2025-06-28,False
L003242,C03242,2025-09-07,Platinum,1431,2147.62,2025-09-06,False
L003458,C03458,2023-07-22,Silver,3065,4597.82,2025-08-18,False
L001628,C01628,2024-07-20,Silver,54,81.48,2025-05-29,False
L000439,C00439,2025-03-20,Silver,396,594.83,2025-04-23,True
L003696,C03696,2025-08-30,Silver,2201,3302.69,2025-09-21,True
L003718,C03718,2023-10-22,Silver,316,474.52,2025-07-03,True
L000721,C00721,2023-07-04,Gold,1303,1954.62,2025-05-17,True
L004051,C04051,2025-05-17,Silver,119,179.89,2025-08-17,True
L002348,C02348,2025-04-23,Platinum,1406,2109.37,2025-08-14,False
L002834,C02834,2024-02-15,Silver,943,1415.77,2025-05-20,False
L001170,C01170,2024-09-16,Gold,340,511.35,2025-05-22,True
L002123,C02123,2023-05-25,Platinum,8,12.06,2025-04-29,False
L000930,C00930,2024-01-26,Silver,667,1001.71,2025-04-15,False
L001105,C01105,2025-01-12,Silver,961,1441.61,2025-05-31,True
L000297,C00297,2024-04-26,Gold,1690,2535.25,2025-06-11,False
L002674,C02674,2025-02-28,Platinum,2089,3134.39,2025-05-13,True
L000068,C00068,2024-04-08,Platinum,313,470.03,2025-09-02,True
L002568,C02568,2023-06-26,Gold,579,869.8,2025-08-10,False
L003714,C03714,2025-09-27,Silver,1100,1650.26,2025-06-12,True
L001957,C01957,2024-10-24,Silver,2009,3013.64,2025-06-28,True
L003113,C03113,2023-10-26,Gold,192,289.22,2025-04-21,False
L002896,C02896,2023-06-16,Silver,861,1292.62,2025-09-20,False
L001433,C01433,2023-04-15,Silver,1711,2567.47,2025-04-22,False
L004896,C04896,2024-08-08,Gold,217,325.95,2025-09-29,False
L003065,C03065,2024-01-17,Silver,2015,3022.51,2025-08-19,False
L002748,C02748,2023-04-26,Silver,313,470.49,2025-05-04,True
L004133,C04133,2024-10-22,Silver,1080,1621.32,2025-06-08,True
L000355,C00355,2025-06-13,Silver,1087,1630.83,2025-07-27,True
L000403,C00403,2025-01-22,Silver,541,812.98,2025-09-03,False
L002531,C02531,2025-05-30,Silver,2378,3568.25,2025-08-04,True
L001602,C01602,2024-01-30,Silver,622,934.22,2025-07-27,True
L002397,C02397,2024-10-07,Silver,1451,2177.8,2025-07-07,True
L001744,C01744,2024-09-11,Silver,1115,1673.29,2025-06-10,True
L000515,C00515,2023-12-26,Gold,1418,2128.39,2025-07-23,True
L004436,C04436,2025-01-15,Silver,1600,2400.44,2025-04-07,False
L004076,C04076,2024-07-16,Silver,295,442.63,2025-06-21,True
L001607,C01607,2023-06-22,Gold,810,1216.28,2025-09-26,True
L000821,C00821,2023-12-16,Platinum,750,1125.35,2025-05-30,False
L004581,C04581,2024-05-31,Silver,1812,2718.78,2025-08-15,True
L002633,C02633,2024-12-12,Silver,1053,1579.93,2025-05-25,False
L001886,C01886,2025-05-01,Silver,1160,1741.4,2025-07-24,False
L001368,C01368,2025-08-05,Gold,1243,1865.97,2025-06-10,False
L002215,C02215,2024-02-18,Gold,2681,4022.36,2025-04-15,True
L003293,C03293,2025-04-22,Silver,1081,1622.94,2025-06-27,True
L000284,C00284,2024-10-13,Silver,1783,2675.88,2025-06-23,True
L002828,C02828,2024-08-30,Gold,1791,2686.99,2025-07-27,True
L000103,C00103,2024-05-12,Silver,633,950.12,2025-07-24,True
L002247,C02247,2025-06-27,Gold,271,406.85,2025-04-13,False
L000603,C00603,2024-06-05,Platinum,166,249.32,2025-06-21,True
L001500,C01500,2023-06-27,Silver,764,1147.49,2025-04-06,False
L002984,C02984,2025-01-08,Gold,291,437.31,2025-06-05,True
L002823,C02823,2025-08-27,Gold,1344,2016.81,2025-09-13,True
L003014,C03014,2023-12-13,Silver,728,1092.38,2025-08-19,False
L003439,C03439,2024-12-11,Gold,2739,4108.63,2025-06-24,False
L003583,C03583,2023-10-16,Silver,1490,2236.05,2025-07-31,True
L000134,C00134,2023-04-29,Silver,671,1006.99,2025-06-25,True
L003977,C03977,2024-10-04,Silver,1672,2508.67,2025-09-15,False
L002915,C02915,2024-04-13,Silver,575,863.94,2025-08-30,True
L000310,C00310,2023-05-24,Gold,731,1097.95,2025-08-22,True
L001863,C01863,2025-01-07,Gold,356,535.31,2025-05-16,True
L003455,C03455,2024-02-13,Silver,2932,4398.73,2025-07-28,False
L001955,C01955,2023-05-22,Silver,512,768.53,2025-07-10,True
L000632,C00632,2025-05-19,Gold,261,392.89,2025-06-21,False
L001763,C01763,2023-05-20,Platinum,226,340.35,2025-05-27,True
L003274,C03274,2025-06-24,Gold,1311,1967.6,2025-06-25,True
L001304,C01304,2024-07-17,Silver,322,483.33,2025-08-25,True
L000906,C00906,2023-09-05,Platinum,451,676.95,2025-05-31,True
L004597,C04597,2024-10-08,Silver,2787,4180.97,2025-07-21,False
L000049,C00049,2025-02-05,Silver,145,218.49,2025-09-10,True
L001214,C01214,2023-12-14,Silver,739,1109.2,2025-08-05,True
L002987,C02987,2025-08-10,Gold,2013,3020.16,2025-09-21,True
L001995,C01995,2023-05-03,Silver,322,483.75,2025-04-22,True
L000371,C00371,2024-06-28,Gold,1042,1564.36,2025-06-20,True
L003984,C03984,2024-06-18,Silver,139,209.79,2025-05-28,False
L003071,C03071,2025-05-04,Gold,699,1048.67,2025-06-07,False
L000738,C00738,2024-10-25,Silver,154,231.7,2025-07-20,False
L000563,C00563,2025-08-27,Silver,1899,2849.92,2025-06-27,True
L003638,C03638,2023-11-05,Silver,102,153.73,2025-04-21,True
L001497,C01497,2025-04-16,Silver,1955,2932.59,2025-04-23,True
L000638,C00638,2024-09-10,Gold,910,1365.81,2025-07-28,True
L003180,C03180,2024-12-30,Silver,121,182.06,2025-06-27,False
L002096,C02096,2023-05-10,Gold,559,839.28,2025-06-01,True
L004327,C04327,2024-02-17,Gold,1181,1772.96,2025-04-21,False
L000280,C00280,2024-01-01,Silver,226,339.7,2025-09-08,True
L004408,C04408,2024-03-08,Silver,44,66.63,2025-08-12,True
L001881,C01881,2025-01-06,Silver,1848,2773.15,2025-04-18,True
L003166,C03166,2023-08-05,Silver,1527,2291.84,2025-09-29,True
L003380,C03380,2023-07-21,Silver,1848,2772.6,2025-06-19,True
L003884,C03884,2025-04-23,Gold,638,957.48,2025-05-13,True
L001447,C01447,2024-07-04,Silver,132,198.25,2025-05-29,True
L002057,C02057,2023-05-08,Platinum,864,1296.29,2025-05-27,False
L002449,C02449,2024-06-22,Silver,312,468.56,2025-08-29,False
L003792,C03792,2024-08-10,Gold,327,491.79,2025-06-26,True
L000800,C00800,2025-06-30,Silver,1668,2502.44,2025-08-22,True
L003991,C03991,2024-04-17,Silver,754,1131.23,2025-05-23,True
L003853,C03853,2023-12-23,Silver,0,0.67,2025-06-11,True
L003643,C03643,2023-05-10,Silver,18,27.7,2025-06-10,True
L003631,C03631,2025-05-07,Gold,590,885.88,2025-09-08,True
L001323,C01323,2024-12-24,Silver,461,692.54,2025-05-25,True
L001650,C01650,2024-01-12,Silver,1393,2090.84,2025-06-15,True
L001539,C01539,2024-08-17,Silver,599,899.04,2025-06-22,True
L000324,C00324,2025-03-13,Silver,1602,2404.49,2025-04-29,True
L003153,C03153,2024-06-07,Silver,654,982.45,2025-07-23,True
L003565,C03565,2024-10-21,Silver,1078,1617.58,2025-06-30,True
L002574,C02574,2023-10-11,Silver,1185,1778.51,2025-09-29,False
L004329,C04329,2024-07-11,Silver,2423,3635.91,2025-06-17,False
L003315,C03315,2024-07-01,Silver,636,954.06,2025-06-28,True
L001809,C01809,2025-05-13,Silver,1135,1703.6,2025-04-16,False
L003630,C03630,2024-02-27,Platinum,1787,2681.39,2025-05-27,True
L002758,C02758,2023-08-18,Silver,3220,4830.17,2025-06-21,True
L000207,C00207,2025-08-12,Silver,1231,1846.82,2025-04-14,True
L002003,C02003,2023-09-06,Silver,1374,2062.07,2025-07-17,True
L001562,C01562,2025-06-25,Silver,1505,2257.59,2025-09-12,False
L003089,C03089,2024-03-21,Gold,388,582.39,2025-07-19,True
L002158,C02158,2024-10-19,Silver,710,1065.36,2025-08-30,True
L002774,C02774,2025-03-07,Silver,3214,4821.37,2025-05-28,True
L002415,C02415,2024-09-14,Gold,163,245.16,2025-06-26,True
L003147,C03147,2024-12-30,Gold,916,1374.22,2025-05-19,True
L000299,C00299,2025-07-26,Silver,1715,2573.52,2025-07-03,True
L003445,C03445,2024-02-04,Silver,1157,1736.18,2025-08-14,True
L004392,C04392,2024-05-24,Silver,519,779.43,2025-09-27,True
L000406,C00406,2024-07-16,Silver,1505,2258.3,2025-04-19,False
L001422,C01422,2025-08-01,Gold,42,64.34,2025-05-29,True
L004543,C04543,2024-02-12,Gold,2304,3456.35,2025-09-03,True
L001197,C01197,2023-10-27,Silver,1014,1521.17,2025-07-25,False
L002833,C02833,2023-07-26,Gold,76,114.57,2025-06-03,False
L002252,C02252,2025-07-21,Gold,219,329.37,2025-05-29,True
L000098,C00098,2024-12-24,Gold,509,764.02,2025-09-02,True
L000039,C00039,2025-05-23,Silver,134,201.47,2025-05-22,True
L004009,C04009,2025-06-09,Platinum,1801,2701.86,2025-09-20,False
L003862,C03862,2025-02-05,Silver,1361,2041.81,2025-06-24,True
L000560,C00560,2025-03-19,Silver,1848,2772.61,2025-08-02,False
L004752,C04752,2023-07-23,Silver,1222,1833.2,2025-07-15,False
L003022,C03022,2023-07-18,Platinum,749,1124.0,2025-04-09,True
L002843,C02843,2024-02-20,Silver,1288,1933.28,2025-07-13,False
L002363,C02363,2024-06-14,Platinum,503,755.73,2025-06-19,True
L000641,C00641,2023-04-15,Silver,2123,3185.35,2025-04-28,False
L003367,C03367,2024-08-03,Silver,1005,1508.76,2025-06-01,True
L002012,C02012,2025-02-25,Gold,133,200.32,2025-04-25,False
L004168,C04168,2024-01-07,Silver,440,660.85,2025-07-31,True
L003559,C03559,2023-08-09,Silver,675,1013.85,2025-07-16,True
L004653,C04653,2023-10-18,Silver,1753,2630.75,2025-08-31,False
L000237,C00237,2023-05-18,Gold,24,36.68,2025-05-12,True
L003957,C03957,2023-06-04,Silver,1188,1782.41,2025-06-03,False
L002183,C02183,2025-03-07,Silver,1461,2192.98,2025-08-07,True
L004579,C04579,2025-02-07,Gold,355,532.64,2025-04-18,False
L001226,C01226,2024-09-04,Silver,2511,3766.51,2025-08-12,False
L002716,C02716,2024-07-15,Silver,533,800.11,2025-05-16,True
L001344,C01344,2024-05-29,Platinum,1102,1653.4,2025-06-25,True
L004831,C04831,2024-05-14,Silver,286,429.76,2025-08-29,True
L001045,C01045,2024-01-31,Silver,1715,2572.78,2025-05-28,True
L002017,C02017,2025-04-18,Silver,1488,2233.22,2025-09-13,True
L000940,C00940,2024-09-21,Gold,1392,2088.03,2025-07-27,True
L003171,C03171,2024-01-01,Gold,606,909.19,2025-05-04,True
L002825,C02825,2025-02-15,Gold,303,454.99,2025-05-14,True
L003669,C03669,2024-01-13,Gold,411,617.06,2025-09-30,False
L002322,C02322,2024-05-04,Silver,1253,1879.95,2025-07-11,False
L002756,C02756,2024-01-27,Gold,3118,4678.15,2025-08-23,False
L002511,C02511,2025-01-10,Gold,868,1302.88,2025-05-20,True
L000631,C00631,2024-09-19,Silver,25,38.35,2025-09-04,True
L000838,C00838,2023-05-04,Silver,1090,1635.93,2025-06-28,False
L004415,C04415,2023-05-19,Silver,1056,1584.79,2025-09-25,False
L002730,C02730,2025-03-29,Silver,666,1000.41,2025-09-17,False
L000481,C00481,2024-02-18,Silver,689,1033.89,2025-09-05,True
L002345,C02345,2024-10-17,Silver,737,1106.41,2025-07-22,True
L003786,C03786,2025-01-06,Silver,855,1283.79,2025-04-12,False
L001033,C01033,2023-08-12,Silver,595,893.73,2025-08-12,False
L002094,C02094,2025-01-13,Silver,2249,3374.79,2025-04-13,False
L001011,C01011,2023-05-18,Silver,2670,4005.61,2025-08-11,True
L000623,C00623,2025-01-31,Silver,1473,2209.91,2025-06-29,False
L003000,C03000,2025-01-19,Gold,1385,2078.07,2025-08-16,True
L000503,C00503,2025-09-21,Gold,195,293.2,2025-05-15,False
L001681,C01681,2025-08-16,Gold,2262,3393.18,2025-07-25,False
L000452,C00452,2025-03-30,Silver,577,866.72,2025-09-27,True
L000893,C00893,2025-05-23,Silver,728,1092.63,2025-09-02,False
L004476,C04476,2024-09-20,Silver,1363,2044.91,2025-09-17,True
L004366,C04366,2024-06-01,Gold,795,1193.32,2025-05-12,True
L002007,C02007,2024-10-19,Silver,1450,2175.72,2025-06-26,False
L003357,C03357,2025-08-12,Silver,149,223.51,2025-05-29,False
L003478,C03478,2023-09-26,Silver,193,289.78,2025-09-15,True
L002974,C02974,2024-02-15,Silver,2359,3539.4,2025-09-22,False
L004507,C04507,2024-12-27,Platinum,366,550.47,2025-06-15,True
L000768,C00768,2024-08-26,Silver,170,255.77,2025-08-07,False
L002168,C02168,2025-09-22,Gold,715,1073.72,2025-07-27,True
L000161,C00161,2024-08-09,Silver,1230,1846.2,2025-04-15,True
L001111,C01111,2023-06-08,Gold,202,303.38,2025-05-04,True
L001767,C01767,2023-08-03,Gold,1400,2100.77,2025-05-04,True
L003652,C03652,2024-04-28,Gold,2140,3210.57,2025-04-20,True
L001315,C01315,2024-01-03,Silver,2268,3402.2,2025-04-18,True
L002682,C02682,2025-04-10,Silver,870,1305.21,2025-08-15,True
L003798,C03798,2024-12-20,Platinum,988,1482.67,2025-04-25,False
L004703,C04703,2024-07-16,Platinum,1798,2698.17,2025-08-15,False
L000537,C00537,2024-10-01,Silver,645,967.55,2025-04-24,True
L003128,C03128,2025-07-02,Platinum,290,435.93,2025-08-28,True
L003986,C03986,2023-09-29,Silver,500,751.05,2025-04-15,True
L002283,C02283,2024-03-02,Silver,2593,3889.55,2025-04-23,True
L002444,C02444,2023-10-04,Silver,1377,2066.84,2025-04-29,True
L000112,C00112,2024-08-08,Silver,353,530.53,2025-05-25,False
L002333,C02333,2023-10-23,Silver,1142,1714.33,2025-07-23,False
L002635,C02635,2024-03-15,Gold,2527,3791.72,2025-09-02,True
L000396,C00396,2023-07-09,Gold,1726,2589.36,2025-05-27,True
L002839,C02839,2025-07-22,Gold,2343,3515.94,2025-04-08,True
L000962,C00962,2025-02-19,Silver,1467,2200.66,2025-05-29,True
L000636,C00636,2024-12-19,Gold,1198,1798.47,2025-09-25,True
L002352,C02352,2023-12-31,Gold,471,707.72,2025-07-23,True
L003388,C03388,2024-02-17,Gold,277,415.94,2025-08-04,False
L004383,C04383,2023-07-02,Gold,1744,2617.36,2025-05-16,True
L000327,C00327,2025-01-09,Silver,1369,2054.3,2025-04-29,True
L004254,C04254,2025-09-13,Gold,1211,1817.87,2025-08-21,False
L004830,C04830,2025-09-13,Gold,1209,1813.57,2025-08-09,True
L000422,C00422,2024-01-16,Silver,2247,3371.3,2025-08-06,True
L002453,C02453,2024-05-19,Platinum,1624,2437.23,2025-04-06,False
L002013,C02013,2024-02-27,Silver,383,575.81,2025-04-10,True
L002213,C02213,2024-11-17,Silver,327,491.94,2025-07-20,True
L002910,C02910,2023-04-29,Gold,1411,2116.95,2025-09-23,True
L000476,C00476,2025-05-13,Silver,2531,3797.84,2025-06-18,False
L003376,C03376,2024-11-25,Silver,1679,2519.02,2025-04-28,False
L004259,C04259,2023-07-27,Silver,53,79.76,2025-08-05,False
L002857,C02857,2023-10-05,Silver,1190,1785.6,2025-05-12,False
L004757,C04757,2025-05-08,Silver,1391,2086.69,2025-04-19,True
L003971,C03971,2025-08-29,Silver,1133,1700.01,2025-05-07,False
L000561,C00561,2024-12-12,Gold,1619,2429.84,2025-08-01,True
L004921,C04921,2024-02-07,Gold,1485,2227.63,2025-04-30,True
L000898,C00898,2025-01-04,Gold,976,1464.23,2025-08-10,True
L000296,C00296,2024-05-18,Platinum,1433,2149.64,2025-05-24,True
L004564,C04564,2023-11-02,Platinum,1841,2762.99,2025-04-13,False
L000225,C00225,2025-01-22,Silver,1078,1617.25,2025-08-15,True
L003023,C03023,2024-09-13,Silver,1492,2238.77,2025-09-13,True
L004611,C04611,2024-10-09,Silver,1066,1600.32,2025-06-07,False
L003661,C03661,2024-02-24,Gold,757,1136.13,2025-06-15,False
L000915,C00915,2025-05-16,Gold,42,63.23,2025-07-24,False
L004795,C04795,2024-12-21,Gold,2619,3929.96,2025-04-12,True
L001894,C01894,2024-07-17,Gold,413,620.1,2025-07-14,False
L002552,C02552,2025-02-06,Gold,1577,2366.02,2025-05-24,True
L000431,C00431,2025-08-15,Gold,399,598.97,2025-09-02,True
L004306,C04306,2024-01-18,Silver,213,319.83,2025-07-17,False
L004748,C04748,2025-04-26,Silver,605,908.99,2025-08-23,True
L004247,C04247,2023-07-22,Silver,639,959.16,2025-06-21,True
L004726,C04726,2023-07-13,Silver,167,251.13,2025-06-08,True
L004388,C04388,2025-06-12,Gold,3784,5676.04,2025-07-06,True
L002180,C02180,2024-09-13,Silver,651,977.87,2025-05-21,True
L001883,C01883,2023-06-25,Platinum,422,633.17,2025-06-24,True
L002104,C02104,2024-04-16,Gold,461,692.61,2025-05-03,True
L003955,C03955,2023-04-15,Platinum,2108,3162.27,2025-06-22,True
L003084,C03084,2025-08-13,Silver,1222,1834.24,2025-07-16,True
L001849,C01849,2024-03-19,Silver,966,1449.59,2025-08-28,True
L001158,C01158,2023-05-15,Silver,929,1393.63,2025-04-29,True
L003333,C03333,2025-05-31,Gold,1344,2016.32,2025-04-20,True
L004109,C04109,2024-04-26,Silver,534,801.81,2025-06-13,True
L001459,C01459,2024-11-09,Silver,750,1126.08,2025-08-16,False
L004501,C04501,2025-04-29,Silver,2313,3469.99,2025-09-19,True
L003750,C03750,2023-12-31,Silver,696,1044.37,2025-06-06,True
L003187,C03187,2025-05-13,Silver,2275,3412.63,2025-05-23,False
L002203,C02203,2024-05-10,Silver,165,248.87,2025-05-06,False
L001415,C01415,2023-11-24,Silver,1267,1901.61,2025-09-09,True
L001189,C01189,2024-10-30,Silver,248,372.27,2025-04-25,True
L000924,C00924,2023-11-17,Silver,743,1114.89,2025-05-01,True
L003331,C03331,2024-04-05,Gold,1250,1875.21,2025-07-22,True
L002400,C02400,2025-04-16,Silver,87,131.46,2025-06-16,False
L003793,C03793,2025-04-26,Platinum,3186,4779.07,2025-09-01,False
L002832,C02832,2025-06-07,Platinum,360,540.12,2025-06-22,True
L001122,C01122,2024-04-25,Silver,352,528.2,2025-06-10,True
L004173,C04173,2024-09-19,Silver,382,573.94,2025-04-15,True
L002844,C02844,2023-04-16,Silver,1003,1504.82,2025-08-01,True
L003368,C03368,2023-09-24,Gold,455,683.02,2025-06-25,True
L000410,C00410,2024-06-19,Platinum,1689,2534.43,2025-05-18,True
L001838,C01838,2023-06-28,Gold,2831,4246.8,2025-05-06,False
L001752,C01752,2025-07-14,Silver,1034,1551.01,2025-06-10,False
L004065,C04065,2025-02-17,Gold,1385,2078.12,2025-09-29,False
L000712,C00712,2024-06-28,Silver,1173,1760.02,2025-07-31,True
L002295,C02295,2023-05-30,Gold,2292,3439.41,2025-05-11,False
L004124,C04124,2025-02-14,Silver,661,992.08,2025-04-23,True
L001080,C01080,2023-06-11,Silver,456,684.2,2025-09-12,True
L004606,C04606,2024-06-17,Silver,2272,3409.1,2025-07-03,True
L000967,C00967,2025-03-17,Platinum,260,391.4,2025-05-26,True
L003359,C03359,2024-10-10,Silver,977,1466.16,2025-08-12,True
L000145,C00145,2025-03-03,Silver,901,1352.96,2025-06-26,False
L001024,C01024,2024-05-26,Platinum,272,409.47,2025-06-20,True
L000867,C00867,2023-07-06,Silver,2475,3713.03,2025-09-23,True
L004783,C04783,2023-08-12,Silver,456,685.0,2025-05-08,False
L000312,C00312,2023-04-15,Silver,1388,2082.33,2025-06-29,True
L001784,C01784,2025-03-19,Gold,484,727.17,2025-06-06,True
L003169,C03169,2023-09-03,Platinum,380,570.19,2025-04-28,False
L004544,C04544,2024-02-04,Gold,320,480.56,2025-08-31,True
L003569,C03569,2025-09-23,Gold,703,1054.99,2025-05-20,False
L001285,C01285,2023-10-22,Gold,1920,2880.77,2025-05-13,False
L002614,C02614,2025-04-06,Platinum,2499,3749.71,2025-05-05,True
L002827,C02827,2024-03-26,Silver,822,1233.7,2025-08-23,True
L001219,C01219,2025-02-13,Gold,271,406.8,2025-06-17,True
L003726,C03726,2025-06-01,Gold,179,269.36,2025-04-18,True
L004063,C04063,2024-09-15,Gold,860,1290.43,2025-09-05,False
L000562,C00562,2024-10-07,Silver,1627,2441.27,2025-06-09,True
L001251,C01251,2025-04-30,Silver,395,592.84,2025-09-10,False
L002226,C02226,2023-07-13,Silver,852,1278.26,2025-07-29,False
L004843,C04843,2025-03-11,Silver,1167,1751.96,2025-05-14,True
L002801,C02801,2025-08-14,Silver,1428,2143.45,2025-05-26,False
L000851,C00851,2024-10-25,Silver,239,359.73,2025-07-22,True
L004987,C04987,2024-01-19,Gold,1384,2076.46,2025-09-02,True
L003096,C03096,2024-04-26,Silver,1321,1981.84,2025-06-05,False
L000270,C00270,2025-07-21,Gold,822,1234.12,2025-09-25,True
L001774,C01774,2023-09-02,Silver,54,81.31,2025-07-06,True
L004166,C04166,2023-04-22,Gold,1950,2925.97,2025-07-09,False
L000668,C00668,2024-09-16,Silver,2039,3058.5,2025-05-07,True
L004467,C04467,2025-01-06,Gold,2006,3009.48,2025-06-12,False
L003378,C03378,2025-09-25,Platinum,1213,1820.39,2025-07-25,False
L003764,C03764,2023-10-19,Gold,818,1228.25,2025-08-02,True
L003509,C03509,2025-06-28,Silver,1008,1512.33,2025-05-25,True
L000193,C00193,2024-04-29,Silver,425,638.13,2025-07-26,True
L001162,C01162,2025-08-27,Gold,686,1030.0,2025-06-25,True
L004211,C04211,2024-01-01,Gold,859,1289.42,2025-04-29,False
L004598,C04598,2023-06-29,Silver,1732,2598.86,2025-09-08,True
L003978,C03978,2025-06-15,Silver,1284,1926.01,2025-06-26,True
L003470,C03470,2023-08-09,Silver,1043,1565.0,2025-05-08,True
L002318,C02318,2025-05-27,Silver,869,1304.8,2025-08-02,False
L000469,C00469,2023-11-28,Silver,23,35.03,2025-07-04,True
L004322,C04322,2024-01-16,Silver,745,1117.86,2025-05-22,True
L004205,C04205,2023-09-06,Gold,1137,1705.91,2025-07-10,False
L002937,C02937,2024-12-17,Gold,758,1138.25,2025-09-26,True
L002395,C02395,2023-08-23,Silver,865,1297.59,2025-08-09,False
L004001,C04001,2025-03-29,Platinum,939,1409.11,2025-06-09,True
L003472,C03472,2024-09-09,Silver,671,1007.86,2025-09-09,True
L001238,C01238,2024-07-13,Gold,1256,1884.71,2025-09-14,False
L000059,C00059,2024-06-18,Silver,124,186.82,2025-08-21,False
L000669,C00669,2025-02-09,Silver,1310,1965.28,2025-09-18,True
L003063,C03063,2025-04-02,Platinum,945,1418.81,2025-08-22,True
L002665,C02665,2023-04-27,Silver,2123,3184.73,2025-06-30,True
L000750,C00750,2024-04-08,Platinum,975,1463.44,2025-04-14,True
L000775,C00775,2025-02-23,Silver,952,1429.25,2025-05-10,True
L000252,C00252,2025-09-02,Gold,1380,2070.19,2025-09-16,False
L002761,C02761,2023-06-30,Silver,1181,1772.31,2025-06-30,True
L004103,C04103,2025-08-30,Silver,2272,3408.18,2025-08-20,True
L001617,C01617,2024-12-30,Platinum,820,1230.49,2025-05-29,False
L000176,C00176,2025-09-18,Gold,1032,1548.55,2025-07-28,False
L001538,C01538,2024-03-15,Silver,532,798.52,2025-08-10,True
L004000,C04000,2024-02-14,Silver,1567,2350.82,2025-07-17,True
L001999,C01999,2025-06-09,Silver,2601,3902.38,2025-07-03,True
L001938,C01938,2024-03-20,Gold,2346,3520.09,2025-05-22,False
L001996,C01996,2025-07-24,Silver,2866,4299.05,2025-07-08,True
L003644,C03644,2024-07-23,Platinum,243,364.96,2025-08-04,True
L003386,C03386,2023-09-16,Silver,504,756.03,2025-09-11,False
L001555,C01555,2023-12-22,Silver,411,616.64,2025-07-29,False
L001395,C01395,2023-12-24,Silver,588,882.22,2025-07-26,True
L000936,C00936,2024-07-23,Silver,26,39.87,2025-06-17,True
L000451,C00451,2023-09-20,Silver,350,525.68,2025-08-22,False
L000890,C00890,2025-06-23,Silver,1522,2284.21,2025-06-21,False
L000196,C00196,2023-06-12,Gold,532,799.27,2025-09-22,False
L003077,C03077,2023-07-01,Platinum,526,789.69,2025-08-21,True
L001048,C01048,2024-03-03,Gold,670,1005.86,2025-05-27,False
L002776,C02776,2023-05-26,Silver,595,893.28,2025-04-28,False
L003956,C03956,2025-09-05,Platinum,249,374.74,2025-08-27,True
L001780,C01780,2023-11-30,Silver,130,196.26,2025-08-30,False
L003578,C03578,2024-12-22,Gold,1174,1761.56,2025-06-21,True
