transaction_id,store_id,store_name,emirate,transaction_date,transaction_time,customer_id,product_id,category,subcategory,quantity,unit_price,total_amount,payment_method
T0000017,S002,LuLu_Store_2,Fujairah,2024-04-17,14:25,C00759,P0195,electronics,tv,2,166.1,332.2,card
T0000018,S003,LuLu_Store_3,Sharjah,2023-12-09,14:34,C02500,P0208,electronics,accessories,2,406.32,812.65,cash
T0000019,S005,LuLu_Store_5,Dubai,2024-05-12,15:08,C02834,P0173,grocery,fresh,1,28.3,28.3,cash
T0000020,S011,LuLu_Store_11,Dubai,2024-03-01,18:58,C02917,P0024,grocery,pantry,3,1.26,3.78,cash
T0000021,S001,LuLu_Store_1,Dubai,2023-10-12,14:18,C01395,P0021,home,decor,1,270.52,270.52,cash
T0000022,S011,LuLu_Store_11,Dubai,2023-09-25,15:31,C00648,P0136,grocery,beverages,1,3.46,3.46,cash
T0000023,S003,LuLu_Store_3,Sharjah,2023-03-07,08:46,C04903,P0078,electronics,mobile,2,1211.16,2422.32,card
T0000024,S018,LuLu_Store_18,Abu Dhabi,2024-10-12,08:57,C02336,P0148,grocery,pantry,2,2.7,5.39,card
T0000025,S001,LuLu_Store_1,Dubai,2023-03-21,20:03,C02080,P0121,electronics,tv,2,145.28,290.57,card
T0000026,S006,LuLu_Store_6,Dubai,2024-12-13,16:08,C03721,P0033,home,decor,2,363.46,726.92,card
T0000027,S007,LuLu_Store_7,Dubai,2023-03-22,09:30,C03233,P0005,grocery,beverages,3,7.04,21.12,cash
T0000028,S017,LuLu_Store_17,Dubai,2024-03-30,09:45,C04741,P0078,electronics,mobile,3,1215.49,3646.48,cash
T0000029,S019,LuLu_Store_19,Abu Dhabi,2023-10-12,09:23,C03450,P0073,beauty,fragrance,2,79.57,159.14,card
T0000030,S011,LuLu_Store_11,Dubai,2023-02-13,10:52,C00848,P0125,grocery,beverages,3,14.75,44.26,card
T0000031,S009,LuLu_Store_9,Abu Dhabi,2024-05-16,13:25,C01344,P0133,grocery,snacks,3,8.51,25.52,card
T0000032,S015,LuLu_Store_15,Dubai,2024-11-23,09:36,C03817,P0080,clothing,men,3,136.13,408.39,cash
T0000033,S013,LuLu_Store_13,Ajman,2023-06-01,19:41,C04019,P0080,clothing,men,4,130.73,522.92,card
T0000034,S009,LuLu_Store_9,Abu Dhabi,2024-03-04,14:15,C04697,P0128,home,decor,5,40.43,202.14,mobile_pay
T0000035,S001,LuLu_Store_1,Dubai,2024-01-22,20:56,C01358,P0093,electronics,mobile,2,797.3,1594.59,card
T0000036,S018,LuLu_Store_18,Abu Dhabi,2023-04-12,11:13,C04254,P0105,grocery,fresh,3,16.64,49.91,cash
T0000037,S012,LuLu_Store_12,Fujairah,2023-08-08,12:04,C03388,P0060,grocery,fresh,1,28.24,28.24,card
T0000038,S010,LuLu_Store_10,Sharjah,2023-04-19,19:54,C04564,P0099,grocery,beverages,3,16.26,48.77,mobile_pay
T0000039,S016,LuLu_Store_16,Dubai,2023-07-08,12:49,C00109,P0109,grocery,pantry,1,22.71,22.71,card
T0000040,S012,LuLu_Store_12,Fujairah,2024-03-18,12:46,C03595,P0167,grocery,fresh,3,18.73,56.18,cash
T0000041,S008,LuLu_Store_8,Ajman,2024-09-19,17:05,C04369,P0226,clothing,men,1,65.96,65.96,card
T0000042,S018,LuLu_Store_18,Abu Dhabi,2023-10-22,12:17,C01383,P0189,electronics,tv,3,1131.3,3393.91,card
T0000043,S019,LuLu_Store_19,Abu Dhabi,2024-10-02,11:30,C01393,P0024,grocery,pantry,2,1.54,3.08,card
T0000044,S018,LuLu_Store_18,Abu Dhabi,2023-12-07,20:31,C00493,P0237,grocery,fresh,2,20.14,40.28,cash
T0000045,S018,LuLu_Store_18,Abu Dhabi,2024-11-11,14:08,C04250,P0068,grocery,beverages,1,15.65,15.65,cash
T0000046,S013,LuLu_Store_13,Ajman,2023-09-02,22:07,C00287,P0002,grocery,pantry,3,16.78,50.35,card
T0000047,S004,LuLu_Store_4,Abu Dhabi,2023-01-29,22:01,C04243,P0062,clothing,accessories,2,121.0,242.01,card
T0000048,S018,LuLu_Store_18,Abu Dhabi,2023-10-14,22:47,C04012,P0198,clothing,men,2,89.48,178.95,mobile_pay
T0000049,S015,LuLu_Store_15,Dubai,2024-06-29,15:07,C02084,P0159,grocery,beverages,1,27.79,27.79,card
T0000050,S005,LuLu_Store_5,Dubai,2024-06-04,11:24,C03559,P0160,grocery,beverages,2,11.88,23.76,card
T0000051,S001,LuLu_Store_1,Dubai,2023-06-01,12:56,C02022,P0213,clothing,men,3,63.2,189.6,cash
T0000052,S004,LuLu_Store_4,Abu Dhabi,2023-03-23,19:14,C01719,P0236,grocery,fresh,6,19.35,116.11,card
T0000053,S002,LuLu_Store_2,Fujairah,2023-07-03,14:02,C00045,P0156,grocery,snacks,3,26.43,79.28,card
T0000054,S015,LuLu_Store_15,Dubai,2023-04-06,12:59,C04026,P0055,grocery,snacks,2,17.91,35.82,card
T0000055,S017,LuLu_Store_17,Dubai,2023-12-06,14:08,C01621,P0024,grocery,pantry,2,1.55,3.1,card
T0000056,S020,LuLu_Store_20,Dubai,2023-06-07,17:01,C03134,P0013,grocery,fresh,2,6.34,12.69,card
T0000057,S008,LuLu_Store_8,Ajman,2024-02-15,09:36,C03613,P0120,grocery,pantry,3,27.05,81.16,card
T0000058,S017,LuLu_Store_17,Dubai,2023-05-20,09:52,C02864,P0196,grocery,fresh,4,3.67,14.68,card
T0000059,S011,LuLu_Store_11,Dubai,2024-07-26,21:05,C00053,P0063,grocery,snacks,1,29.9,29.9,card
T0000060,S008,LuLu_Store_8,Ajman,2024-12-21,10:58,C02548,P0021,home,decor,3,272.15,816.46,card
T0000061,S018,LuLu_Store_18,Abu Dhabi,2023-08-30,20:56,C01593,P0147,grocery,snacks,3,32.08,96.23,card
T0000062,S001,LuLu_Store_1,Dubai,2024-09-18,08:39,C02828,P0091,grocery,beverages,1,28.45,28.45,cash
T0000063,S005,LuLu_Store_5,Dubai,2024-12-01,18:45,C01187,P0002,grocery,pantry,2,16.13,32.26,card
T0000064,S010,LuLu_Store_10,Sharjah,2023-01-19,12:44,C02793,P0005,grocery,beverages,4,7.02,28.07,mobile_pay
T0000065,S017,LuLu_Store_17,Dubai,2023-06-20,13:50,C04096,P0063,grocery,snacks,3,29.88,89.63,card
T0000066,S010,LuLu_Store_10,Sharjah,2024-05-16,10:17,C02624,P0097,grocery,fresh,3,11.27,33.81,card
T0000067,S009,LuLu_Store_9,Abu Dhabi,2024-07-06,15:22,C02512,P0013,grocery,fresh,2,7.13,14.27,mobile_pay
T0000068,S001,LuLu_Store_1,Dubai,2024-03-18,18:59,C02743,P0139,home,furniture,3,474.16,1422.49,card
T0000069,S001,LuLu_Store_1,Dubai,2023-03-21,16:21,C00380,P0171,clothing,kids,2,47.91,95.83,card
T0000070,S008,LuLu_Store_8,Ajman,2023-07-08,12:15,C04423,P0131,clothing,kids,2,53.75,107.51,card
T0000071,S004,LuLu_Store_4,Abu Dhabi,2024-01-20,21:38,C04288,P0119,grocery,snacks,3,9.32,27.95,card
T0000072,S013,LuLu_Store_13,Ajman,2024-04-11,15:51,C00857,P0119,grocery,snacks,2,9.19,18.37,mobile_pay
T0000073,S005,LuLu_Store_5,Dubai,2023-07-05,17:02,C00764,P0239,grocery,pantry,1,5.04,5.04,card
T0000074,S020,LuLu_Store_20,Dubai,2024-01-10,18:38,C00985,P0187,grocery,pantry,1,20.59,20.59,cash
T0000075,S007,LuLu_Store_7,Dubai,2024-08-29,19:51,C03548,P0209,home,kitchen,3,281.06,843.18,cash
T0000076,S020,LuLu_Store_20,Dubai,2023-12-30,13:13,C00285,P0187,grocery,pantry,2,21.97,43.93,cash
T0000077,S009,LuLu_Store_9,Abu Dhabi,2023-10-23,12:27,C00029,P0191,grocery,beverages,1,7.11,7.11,mobile_pay
T0000078,S002,LuLu_Store_2,Fujairah,2024-06-17,13:11,C04211,P0078,electronics,mobile,2,1246.54,2493.07,card
T0000079,S013,LuLu_Store_13,Ajman,2024-08-11,17:57,C00249,P0219,electronics,tv,4,328.09,1312.35,card
T0000080,S002,LuLu_Store_2,Fujairah,2023-01-28,18:54,C03021,P0157,grocery,fresh,2,16.19,32.38,card
T0000081,S014,LuLu_Store_14,Dubai,2024-12-30,15:30,C01200,P0214,clothing,men,1,121.17,121.17,cash
T0000082,S006,LuLu_Store_6,Dubai,2024-02-04,20:47,C00674,P0075,clothing,men,4,99.8,399.19,card
T0000083,S005,LuLu_Store_5,Dubai,2023-04-06,17:38,C03504,P0014,grocery,snacks,2,12.92,25.83,card
T0000084,S013,LuLu_Store_13,Ajman,2023-03-01,10:58,C01933,P0082,grocery,beverages,3,14.95,44.86,cash
T0000085,S008,LuLu_Store_8,Ajman,2024-01-13,08:36,C04111,P0235,grocery,beverages,2,6.13,12.26,cash
T0000086,S011,LuLu_Store_11,Dubai,2023-07-11,19:02,C02138,P0063,grocery,snacks,2,29.08,58.17,card
T0000087,S008,LuLu_Store_8,Ajman,2024-01-12,15:58,C01112,P0048,clothing,men,2,66.42,132.84,cash
T0000088,S014,LuLu_Store_14,Dubai,2023-01-14,10:41,C04922,P0015,grocery,beverages,1,20.72,20.72,card
T0000089,S010,LuLu_Store_10,Sharjah,2023-08-27,20:14,C02066,P0114,grocery,snacks,2,18.79,37.58,mobile_pay
T0000090,S019,LuLu_Store_19,Abu Dhabi,2024-11-19,08:35,C04056,P0013,grocery,fresh,1,6.84,6.84,card
T0000091,S001,LuLu_Store_1,Dubai,2023-07-28,13:13,C02138,P0087,grocery,pantry,1,2.41,2.41,card
T0000092,S010,LuLu_Store_10,Sharjah,2024-11-10,19:36,C02373,P0136,grocery,beverages,2,3.42,6.84,cash
T0000093,S008,LuLu_Store_8,Ajman,2024-07-07,14:18,C01922,P0155,grocery,pantry,4,4.36,17.42,card
T0000094,S015,LuLu_Store_15,Dubai,2023-03-08,08:13,C02881,P0186,electronics,audio,1,653.53,653.53,card
T0000095,S006,LuLu_Store_6,Dubai,2023-05-13,12:54,C01025,P0005,grocery,beverages,3,6.9,20.71,card
T0000096,S011,LuLu_Store_11,Dubai,2024-12-15,09:32,C04230,P0121,electronics,tv,2,158.35,316.7,mobile_pay
T0000097,S017,LuLu_Store_17,Dubai,2023-09-28,15:36,C02396,P0249,clothing,accessories,2,62.74,125.47,card
T0000098,S013,LuLu_Store_13,Ajman,2023-05-05,10:37,C04338,P0238,clothing,kids,3,47.43,142.29,cash
T0000099,S020,LuLu_Store_20,Dubai,2023-09-13,11:52,C02361,P0052,clothing,men,1,20.37,20.37,card
T0000100,S016,LuLu_Store_16,Dubai,2023-07-05,17:32,C00878,P0157,grocery,fresh,1,15.09,15.09,card
T0000101,S003,LuLu_Store_3,Sharjah,2023-05-02,21:06,C02941,P0081,beauty,skincare,2,34.13,68.26,card
T0000102,S001,LuLu_Store_1,Dubai,2023-03-30,12:46,C03989,P0060,grocery,fresh,3,27.04,81.11,card
T0000103,S017,LuLu_Store_17,Dubai,2023-07-26,18:10,C02093,P0081,beauty,skincare,2,31.92,63.84,card
T0000104,S002,LuLu_Store_2,Fujairah,2024-11-19,16:37,C04556,P0106,grocery,fresh,1,2.92,2.92,card
T0000105,S002,LuLu_Store_2,Fujairah,2024-03-20,21:21,C02765,P0028,electronics,accessories,3,1163.84,3491.52,mobile_pay
T0000106,S011,LuLu_Store_11,Dubai,2023-01-10,17:39,C01411,P0208,electronics,accessories,1,400.58,400.58,cash
T0000107,S016,LuLu_Store_16,Dubai,2024-02-14,09:56,C03911,P0094,electronics,tv,3,105.9,317.71,card
T0000108,S019,LuLu_Store_19,Abu Dhabi,2023-03-06,19:55,C02294,P0068,grocery,beverages,1,14.55,14.55,cash
T0000109,S015,LuLu_Store_15,Dubai,2023-07-10,11:45,C02868,P0052,clothing,men,5,20.78,103.92,card
T0000110,S006,LuLu_Store_6,Dubai,2023-10-22,09:24,C02455,P0172,clothing,men,3,105.44,316.32,card
T0000111,S011,LuLu_Store_11,Dubai,2023-07-08,16:32,C02980,P0176,beauty,skincare,2,91.14,182.28,card
T0000112,S017,LuLu_Store_17,Dubai,2024-09-28,08:01,C04504,P0155,grocery,pantry,1,4.59,4.59,cash
T0000113,S018,LuLu_Store_18,Abu Dhabi,2023-11-15,11:54,C03178,P0170,grocery,fresh,2,27.01,54.02,gift_card
T0000114,S019,LuLu_Store_19,Abu Dhabi,2023-01-08,14:23,C03097,P0169,grocery,snacks,2,2.01,4.01,card
T0000115,S011,LuLu_Store_11,Dubai,2024-10-07,09:45,C01940,P0005,grocery,beverages,3,7.41,22.24,card
T0000116,S006,LuLu_Store_6,Dubai,2023-01-01,09:40,C04382,P0157,grocery,fresh,3,17.1,51.3,cash
T0000117,S007,LuLu_Store_7,Dubai,2024-05-22,16:24,C03811,P0160,grocery,beverages,2,11.93,23.87,card
T0000118,S006,LuLu_Store_6,Dubai,2024-07-12,20:10,C03572,P0026,clothing,women,3,93.72,281.17,card
T0000119,S018,LuLu_Store_18,Abu Dhabi,2024-09-23,10:25,C01469,P0098,clothing,women,1,114.55,114.55,cash
T0000120,S020,LuLu_Store_20,Dubai,2024-12-26,22:42,C03718,P0052,clothing,men,4,19.3,77.19,card
T0000121,S017,LuLu_Store_17,Dubai,2023-03-27,15:42,C04531,P0229,grocery,beverages,4,4.22,16.87,card
T0000122,S019,LuLu_Store_19,Abu Dhabi,2024-12-28,10:37,C04200,P0039,electronics,accessories,2,685.46,1370.91,card
T0000123,S013,LuLu_Store_13,Ajman,2023-09-28,17:05,C00364,P0048,clothing,men,3,71.23,213.69,card
T0000124,S018,LuLu_Store_18,Abu Dhabi,2023-05-16,20:57,C02281,P0171,clothing,kids,1,43.45,43.45,card
T0000125,S020,LuLu_Store_20,Dubai,2023-03-29,15:24,C01582,P0122,electronics,audio,2,1468.04,2936.08,card
T0000126,S019,LuLu_Store_19,Abu Dhabi,2023-05-09,18:45,C02471,P0012,electronics,mobile,2,768.89,1537.77,cash
T0000127,S008,LuLu_Store_8,Ajman,2024-04-04,15:03,C00687,P0077,grocery,snacks,1,13.16,13.16,card
T0000128,S003,LuLu_Store_3,Sharjah,2023-03-23,18:30,C01951,P0225,electronics,tv,2,1292.99,2585.99,card
T0000129,S019,LuLu_Store_19,Abu Dhabi,2023-02-15,16:35,C01131,P0030,grocery,beverages,1,18.63,18.63,cash
T0000130,S006,LuLu_Store_6,Dubai,2024-02-09,20:00,C04445,P0186,electronics,audio,1,613.97,613.97,card
T0000131,S004,LuLu_Store_4,Abu Dhabi,2023-06-16,21:42,C01962,P0030,grocery,beverages,4,17.3,69.18,card
T0000132,S004,LuLu_Store_4,Abu Dhabi,2024-10-23,14:41,C00428,P0151,grocery,snacks,4,29.25,116.98,cash
T0000133,S012,LuLu_Store_12,Fujairah,2023-01-14,10:35,C00608,P0178,grocery,fresh,3,20.41,61.24,card
T0000134,S019,LuLu_Store_19,Abu Dhabi,2023-11-26,17:03,C02432,P0249,clothing,accessories,1,62.73,62.73,card
T0000135,S011,LuLu_Store_11,Dubai,2024-06-12,09:45,C00207,P0018,grocery,fresh,3,4.71,14.14,mobile_pay
T0000136,S012,LuLu_Store_12,Fujairah,2023-04-19,10:12,C01651,P0180,electronics,tv,2,158.97,317.93,cash
T0000137,S009,LuLu_Store_9,Abu Dhabi,2023-06-19,13:24,C03819,P0181,grocery,beverages,2,14.98,29.96,card
T0000138,S019,LuLu_Store_19,Abu Dhabi,2023-03-15,17:33,C00607,P0142,electronics,accessories,2,432.19,864.37,card
T0000139,S010,LuLu_Store_10,Sharjah,2023-03-13,09:09,C01002,P0111,home,kitchen,1,405.51,405.51,card
T0000140,S019,LuLu_Store_19,Abu Dhabi,2024-06-18,20:56,C03309,P0213,clothing,men,5,58.32,291.6,card
T0000141,S004,LuLu_Store_4,Abu Dhabi,2024-12-16,18:14,C04520,P0163,grocery,beverages,2,2.21,4.41,card
T0000142,S009,LuLu_Store_9,Abu Dhabi,2023-12-25,09:25,C04412,P0080,clothing,men,2,136.97,273.94,card
T0000143,S016,LuLu_Store_16,Dubai,2023-08-14,13:53,C01238,P0009,grocery,snacks,2,6.6,13.2,card
T0000144,S009,LuLu_Store_9,Abu Dhabi,2024-02-07,09:14,C02345,P0145,clothing,accessories,3,144.65,433.94,card
T0000145,S018,LuLu_Store_18,Abu Dhabi,2024-09-26,16:40,C02507,P0164,electronics,mobile,4,1310.57,5242.27,card
T0000146,S012,LuLu_Store_12,Fujairah,2023-04-30,10:09,C00897,P0193,clothing,accessories,1,106.46,106.46,card
T0000147,S020,LuLu_Store_20,Dubai,2023-06-10,22:37,C01490,P0170,grocery,fresh,3,25.89,77.66,card
T0000148,S020,LuLu_Store_20,Dubai,2024-04-03,18:38,C00370,P0023,clothing,accessories,3,28.89,86.68,card
T0000149,S016,LuLu_Store_16,Dubai,2024-06-12,12:59,C00056,P0073,beauty,fragrance,2,76.45,152.91,cash
T0000150,S003,LuLu_Store_3,Sharjah,2024-12-12,20:14,C04035,P0051,clothing,men,2,49.66,99.32,cash
T0000151,S007,LuLu_Store_7,Dubai,2023-05-31,12:15,C03612,P0014,grocery,snacks,2,12.92,25.85,card
T0000152,S006,LuLu_Store_6,Dubai,2024-03-09,11:07,C04616,P0197,electronics,tv,1,1514.46,1514.46,card
T0000153,S003,LuLu_Store_3,Sharjah,2023-11-18,16:12,C03203,P0209,home,kitchen,1,307.62,307.62,card
T0000154,S006,LuLu_Store_6,Dubai,2024-10-23,14:31,C00938,P0249,clothing,accessories,2,65.61,131.21,card
T0000155,S006,LuLu_Store_6,Dubai,2024-04-08,22:18,C03838,P0204,grocery,snacks,8,13.65,109.19,card
T0000156,S020,LuLu_Store_20,Dubai,2024-01-03,09:43,C00062,P0136,grocery,beverages,4,3.79,15.16,card
T0000157,S002,LuLu_Store_2,Fujairah,2023-03-09,16:48,C00563,P0093,electronics,mobile,3,804.97,2414.9,cash
T0000158,S017,LuLu_Store_17,Dubai,2024-11-09,18:31,C00970,P0095,home,furniture,2,173.14,346.27,card
T0000159,S020,LuLu_Store_20,Dubai,2023-11-15,12:34,C01621,P0103,clothing,men,2,73.53,147.06,card
T0000160,S006,LuLu_Store_6,Dubai,2023-08-11,08:42,C02268,P0230,grocery,snacks,2,23.14,46.29,card
T0000161,S009,LuLu_Store_9,Abu Dhabi,2023-11-22,22:44,C04200,P0058,electronics,accessories,4,538.3,2153.18,cash
T0000162,S003,LuLu_Store_3,Sharjah,2023-08-27,15:18,C00724,P0231,grocery,snacks,2,3.31,6.61,mobile_pay
T0000163,S014,LuLu_Store_14,Dubai,2024-04-24,12:45,C00731,P0041,home,decor,2,347.08,694.16,card
T0000164,S003,LuLu_Store_3,Sharjah,2023-12-01,08:33,C01377,P0249,clothing,accessories,4,61.56,246.25,card
T0000165,S005,LuLu_Store_5,Dubai,2023-10-26,14:55,C02897,P0100,grocery,fresh,3,5.4,16.19,cash
T0000166,S007,LuLu_Store_7,Dubai,2024-08-20,11:44,C02004,P0003,home,linen,2,129.44,258.89,mobile_pay
T0000167,S019,LuLu_Store_19,Abu Dhabi,2024-06-06,11:16,C02997,P0116,electronics,tv,3,1324.09,3972.26,card
T0000168,S012,LuLu_Store_12,Fujairah,2023-12-26,20:44,C00823,P0063,grocery,snacks,3,31.35,94.04,card
T0000169,S014,LuLu_Store_14,Dubai,2024-01-02,19:34,C03528,P0034,grocery,pantry,1,9.38,9.38,card
T0000170,S014,LuLu_Store_14,Dubai,2023-03-14,13:41,C01402,P0088,grocery,snacks,3,5.3,15.9,card
T0000171,S011,LuLu_Store_11,Dubai,2023-09-05,18:15,C03346,P0073,beauty,fragrance,3,82.47,247.4,cash
T0000172,S018,LuLu_Store_18,Abu Dhabi,2023-06-27,10:05,C00579,P0240,grocery,fresh,5,3.97,19.83,cash
T0000173,S013,LuLu_Store_13,Ajman,2024-08-15,09:42,C03118,P0067,grocery,fresh,1,11.76,11.76,card
T0000174,S005,LuLu_Store_5,Dubai,2023-01-07,14:37,C01347,P0172,clothing,men,3,105.34,316.01,card
T0000175,S018,LuLu_Store_18,Abu Dhabi,2023-02-19,20:31,C02006,P0137,grocery,beverages,3,29.08,87.23,cash
T0000176,S012,LuLu_Store_12,Fujairah,2024-10-15,10:00,C03562,P0175,electronics,mobile,5,1050.92,5254.58,card
T0000177,S016,LuLu_Store_16,Dubai,2024-11-17,20:26,C04977,P0196,grocery,fresh,2,3.43,6.87,card
T0000178,S015,LuLu_Store_15,Dubai,2023-11-14,18:16,C03011,P0151,grocery,snacks,2,30.31,60.63,cash
T0000179,S018,LuLu_Store_18,Abu Dhabi,2024-12-26,10:55,C01875,P0157,grocery,fresh,1,15.18,15.18,card
T0000180,S018,LuLu_Store_18,Abu Dhabi,2024-06-05,19:23,C03373,P0171,clothing,kids,1,47.82,47.82,card
T0000181,S018,LuLu_Store_18,Abu Dhabi,2023-01-24,17:54,C04900,P0127,clothing,accessories,1,80.68,80.68,card
T0000182,S014,LuLu_Store_14,Dubai,2023-12-01,10:05,C01142,P0137,grocery,beverages,4,25.85,103.39,card
T0000183,S012,LuLu_Store_12,Fujairah,2023-04-25,19:57,C00055,P0103,clothing,men,1,88.47,88.47,card
T0000184,S013,LuLu_Store_13,Ajman,2023-09-06,14:06,C02265,P0151,grocery,snacks,2,29.11,58.21,card
T0000185,S004,LuLu_Store_4,Abu Dhabi,2024-03-09,11:50,C00136,P0010,clothing,accessories,1,89.25,89.25,card
T0000186,S020,LuLu_Store_20,Dubai,2023-11-25,15:12,C00925,P0056,grocery,snacks,3,9.24,27.73,card
T0000187,S008,LuLu_Store_8,Ajman,2023-09-28,21:32,C04386,P0184,home,decor,3,322.91,968.72,card
T0000188,S016,LuLu_Store_16,Dubai,2023-11-27,19:45,C04624,P0126,grocery,fresh,3,14.92,44.75,card
T0000189,S004,LuLu_Store_4,Abu Dhabi,2023-06-20,17:42,C00634,P0164,electronics,mobile,2,1366.48,2732.96,card
T0000190,S014,LuLu_Store_14,Dubai,2023-04-13,11:20,C02343,P0143,electronics,audio,2,442.73,885.47,card
T0000191,S012,LuLu_Store_12,Fujairah,2024-06-10,20:13,C00884,P0018,grocery,fresh,3,4.38,13.15,cash
T0000192,S004,LuLu_Store_4,Abu Dhabi,2023-07-02,16:49,C01894,P0141,grocery,snacks,2,12.58,25.17,cash
T0000193,S011,LuLu_Store_11,Dubai,2024-08-01,13:53,C01719,P0113,home,decor,1,380.66,380.66,card
T0000194,S018,LuLu_Store_18,Abu Dhabi,2024-06-30,08:39,C04041,P0034,grocery,pantry,2,8.49,16.98,card
T0000195,S017,LuLu_Store_17,Dubai,2024-01-12,12:17,C04264,P0221,grocery,fresh,3,22.95,68.85,card
T0000196,S012,LuLu_Store_12,Fujairah,2024-11-17,21:51,C03814,P0141,grocery,snacks,2,13.27,26.55,card
T0000197,S014,LuLu_Store_14,Dubai,2024-08-15,12:59,C04154,P0061,grocery,beverages,1,20.98,20.98,card
T0000198,S013,LuLu_Store_13,Ajman,2023-12-24,08:23,C00762,P0249,clothing,accessories,2,66.83,133.66,cash
T0000199,S008,LuLu_Store_8,Ajman,2023-12-25,19:10,C03968,P0061,grocery,beverages,3,21.06,63.18,cash
T0000200,S019,LuLu_Store_19,Abu Dhabi,2024-06-30,08:40,C00238,P0202,home,kitchen,3,341.14,1023.43,cash
T0000201,S013,LuLu_Store_13,Ajman,2024-11-03,18:10,C00178,P0015,grocery,beverages,4,19.81,79.23,card
T0000202,S017,LuLu_Store_17,Dubai,2024-01-13,15:57,C03360,P0043,grocery,pantry,1,9.42,9.42,card
T0000203,S008,LuLu_Store_8,Ajman,2024-07-29,18:18,C01864,P0192,grocery,pantry,2,13.25,26.51,card
T0000204,S017,LuLu_Store_17,Dubai,2023-09-08,14:01,C02129,P0045,clothing,women,2,67.4,134.8,mobile_pay
T0000205,S008,LuLu_Store_8,Ajman,2023-03-29,11:13,C01681,P0146,grocery,snacks,3,9.46,28.38,card
T0000206,S018,LuLu_Store_18,Abu Dhabi,2023-08-15,16:39,C03209,P0200,electronics,audio,2,1052.4,2104.79,mobile_pay
T0000207,S002,LuLu_Store_2,Fujairah,2024-08-05,10:49,C03400,P0167,grocery,fresh,1,20.87,20.87,card
T0000208,S011,LuLu_Store_11,Dubai,2023-12-13,15:00,C02087,P0201,grocery,fresh,4,14.0,56.0,card
T0000209,S013,LuLu_Store_13,Ajman,2024-09-30,08:12,C00620,P0205,grocery,pantry,1,23.26,23.26,card
T0000210,S003,LuLu_Store_3,Sharjah,2023-12-12,11:16,C04840,P0243,grocery,beverages,4,10.51,42.04,card
T0000211,S016,LuLu_Store_16,Dubai,2024-12-11,22:23,C01092,P0169,grocery,snacks,4,2.01,8.02,cash
T0000212,S003,LuLu_Store_3,Sharjah,2023-04-26,08:54,C04248,P0036,clothing,accessories,1,48.62,48.62,card
T0000213,S007,LuLu_Store_7,Dubai,2023-07-09,21:37,C03652,P0197,electronics,tv,3,1420.75,4262.25,cash
T0000214,S006,LuLu_Store_6,Dubai,2024-03-30,20:39,C00853,P0010,clothing,accessories,1,94.79,94.79,mobile_pay
T0000215,S009,LuLu_Store_9,Abu Dhabi,2024-08-19,08:14,C03006,P0165,clothing,men,4,20.15,80.6,gift_card
T0000216,S008,LuLu_Store_8,Ajman,2024-03-12,19:03,C00184,P0105,grocery,fresh,2,16.76,33.52,cash
T0000217,S014,LuLu_Store_14,Dubai,2024-10-11,09:03,C00318,P0075,clothing,men,1,94.66,94.66,card
T0000218,S015,LuLu_Store_15,Dubai,2024-09-17,15:54,C03221,P0222,home,kitchen,2,314.0,627.99,card
